Date,Open,High,Low,Close,Adj Close,Volume,Unemp Rate%,Interest Rates
Jan 2014,"1,845.86","1,850.84","1,770.45","1,782.59","1,782.59","75,871,910,000",6.6,0.09
Feb 2014,"1,782.68","1,867.92","1,737.92","1,859.45","1,859.45","69,725,590,000",6.7,0.09
Mar 2014,"1,857.68","1,883.97","1,822.04","1,859.45","1,859.45","69,726,590,000",6.7,0.09
Apr 2014,"1,873.96","1,897.28","1,834.44","1,883.95","1,883.95","71,595,810,000",6.2,0.09
May 2014,"1,884.39","1,924.03","1,855.79","1,923.57","1,923.57","63,623,630,000",6.3,0.09
Jun 2014,"1,923.87","1,968.17","1,923.87","1,960.23","1,960.23","63,283,380,000",6.1,0.12
Jul 2014,"1,962.29","2,005.04","1,930.67","1,930.67","1,930.67","66,524,690,000",6.2,0.11
Aug 2014,"1,929.80","2,005.04","1,904.78","2,003.37","2,003.37","58,131,140,000",6.1,0.11
Sep 2014,"2,004.07","2,019.26","1,964.04","2,018.05","2,018.05","66,706,040,000",5.9,0.11
Oct 2014,"1,971.44","2,018.19","1,904.78","2,018.05","2,018.05","93,714,040,000",5.7,0.12
Nov 2014,"2,018.21","2,075.76","1,972.56","2,075.76","2,075.76","63,600,190,000",5.8,0.12
Dec 2014,"2,065.78","2,093.55","1,972.56","2,058.90","2,058.90","80,743,820,000",5.6,0.13
Jan 2015,"2,058.90","2,072.36","1,988.12","1,994.99","1,994.99","77,330,040,000",5.7,0.13
Feb 2015,"1,996.67","2,119.59","1,996.67","2,104.50","2,104.50","68,775,560,000",5.5,0.14
Mar 2015,"2,039.69","2,067.89","1,973.72","2,067.89","2,067.89","76,675,850,000",5.4,0.14
Apr 2015,"2,067.63","2,125.92","2,048.38","2,085.51","2,085.51","72,060,940,000",5.4,0.12
May 2015,"2,087.38","2,107.39","2,067.93","2,107.39","2,107.39","65,187,730,000",5.6,0.12
Jun 2015,"2,056.32","2,063.11","2,032.69","2,063.11","2,063.11","73,213,980,000",5.3,0.24
Jul 2015,"2,067.00","2,132.82","2,044.02","2,103.84","2,103.84","77,290,590,000",5.2,0.34
Aug 2015,"2,104.49","2,112.66","1,867.01","1,972.18","1,972.18","84,626,790,000",5.1,0.38
Sep 2015,"1,970.09","2,020.86","1,871.91","1,920.03","1,920.03","79,989,370,000",5,0.36
Oct 2015,"1,919.65","2,094.32","1,893.70","2,079.36","2,079.36","85,844,900,000",5,0.37
Nov 2015,"2,080.76","2,116.48","2,008.64","2,080.41","2,080.41","78,883,690,000",5.1,0.37
Dec 2015,"2,082.93","2,104.27","1,999.99","2,043.94","2,043.94","75,649,940,000",5,0.38
Jan 2016,"2,038.20","2,038.20","1,812.29","1,940.24","1,940.24","92,409,770,000",4.9,0.39
Jan 2016,"2,038.20","2,038.20","1,812.29","1,940.24","1,940.24","92,409,770,000",4.9,0.39
Feb 2016,"1,936.94","1,962.96","1,810.10","1,932.23","1,932.23","93,049,640,000",5,0.4
Mar 2016,"1,937.09","2,072.21","1,881.10","2,059.74","2,059.74","92,639,420,000",5.1,0.4
Apr 2016,"2,056.62","2,111.05","2,033.80","2,065.30","2,065.30","81,124,900,000",4.8,0.4
May 2016,"2,067.17","2,103.48","2,056.92","2,096.95","2,096.95","78,883,690,000",4.9,0.41
Jun 2016,"2,093.94","2,120.55","1,991.68","2,098.86","2,098.86","86,852,700,000",4.8,0.54
Jul 2016,"2,099.34","2,177.09","2,074.02","2,173.60","2,173.60","69,530,250,000",4.9,0.65
